month #, starting_balance, monthly payment, principal payment, interest payment, ending principal balance, 
153, $28167.68, $1826.45, $1756.03, $70.42, $26411.65, 
154, $26411.65, $1826.45, $1760.42, $66.03, $24651.22, 
155, $24651.22, $1826.45, $1764.83, $61.63, $22886.4, 
156, $22886.4, $1826.45, $1769.24, $57.22, $21117.16, 
157, $21117.16, $1826.45, $1773.66, $52.79, $19343.5, 
158, $19343.5, $1826.45, $1778.1, $48.36, $17565.4, 
159, $17565.4, $1826.45, $1782.54, $43.91, $15782.86, 
160, $15782.86, $1826.45, $1787.0, $39.46, $13995.87, 
161, $13995.87, $1826.45, $1791.46, $34.99, $12204.4, 
162, $12204.4, $1826.45, $1795.94, $30.51, $10408.46, 
163, $10408.46, $1826.45, $1800.43, $26.02, $8608.03, 
164, $8608.03, $1826.45, $1804.93, $21.52, $6803.09, 
165, $6803.09, $1826.45, $1809.45, $17.01, $4993.65, 
166, $4993.65, $1826.45, $1813.97, $12.48, $3179.68, 
167, $3179.68, $1826.45, $1818.5, $7.95, $1361.17, 
168, $1361.17, $1826.45, $1823.05, $3.4, $-461.88, 
